"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2015-07-10T00:17:21.895+01:00","0.0","0.1"
"Constructors unit test","Podam should handle classes with generic Key/Value types","SUCCESS","2015-07-10T00:17:29.018+01:00","0.0","0.06"
"Constructors unit test","Podam should handle constructors with generic arrays during Pojo instantiation","SUCCESS","2015-07-10T00:17:29.223+01:00","0.0","0.07"
"Constructors unit test","Podam should handle constructors with multiple generics during Pojo instantiation","SUCCESS","2015-07-10T00:17:29.357+01:00","0.0","0.08"
"Constructors unit test","Podam should handle generics in setters during Pojo instantiation","SUCCESS","2015-07-10T00:17:29.082+01:00","0.0","0.07"
"Constructors unit test","Podam should handle generics in static constructors during POJO instantiation","SUCCESS","2015-07-10T00:17:29.568+01:00","0.0","0.06"
"Constructors unit test","Podam should handle generics in the constructor","SUCCESS","2015-07-10T00:17:28.833+01:00","0.0","0.06"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2015-07-10T00:17:21.398+01:00","0.0","0.13"
"Collections test","Podam should handle immutable POJOs with generified collections in the constructor","SUCCESS","2015-07-10T00:17:27.516+01:00","0.0","0.15"
"Collections test","Podam should handle immutable Pojos with non generic collections","SUCCESS","2015-07-10T00:17:27.736+01:00","0.0","0.08"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-07-10T00:17:24.991+01:00","0.0","0.09"
"Collections test","Podam should handle standard collections","SUCCESS","2015-07-10T00:17:27.117+01:00","0.0","0.32"
"Inheritance test","Podam should handle the manufacturing of POJOs which inherit from other classes","SUCCESS","2015-07-10T00:17:34.294+01:00","0.0","0.06"
"Class unit test","Podam should handle the manufacturing of POJOs with generic types in constructor","SUCCESS","2015-07-10T00:17:24.344+01:00","0.0","0.11"
"Class unit test","Podam should handle the manufacturing of basic types","SUCCESS","2015-07-10T00:17:24.458+01:00","0.0","0.11"
"Class unit test","Podam should handle the manufacturing of generic POJOs","SUCCESS","2015-07-10T00:17:24.571+01:00","0.0","0.15"
"Inheritance test","Podam should manufacture all POJOs in a tree hierarchy","SUCCESS","2015-07-10T00:17:34.224+01:00","0.0","0.07"
"Constructors unit test","Podam should manufacture package private POJOs","SUCCESS","2015-07-10T00:17:28.296+01:00","0.0","0.06"
"External factory unit test","Podam should not be able to create instances of an Abstract class even if the POJO has a full constructor","SUCCESS","2015-07-10T00:17:33.151+01:00","0.0","0.07"
"External factory unit test","Podam should not be able to create instances of an Abstract class if the external factory does not provide a concrete implementation","SUCCESS","2015-07-10T00:17:33.416+01:00","0.0","0.11"
"External factory unit test","Podam should not create instances of an interface when given an external factory which does not manufacture the concrete type","SUCCESS","2015-07-10T00:17:33.653+01:00","0.0","0.07"
"External factory unit test","Podam should not create instances of non-instantiable classes","SUCCESS","2015-07-10T00:17:33.224+01:00","0.0","0.16"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2015-07-10T00:17:19.861+01:00","0.0","0.32"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2015-07-10T00:17:31.441+01:00","0.0","0.05"
"Class info test","Podam should return valid class info for POJOs with no attributes","SUCCESS","2015-07-10T00:17:26.682+01:00","0.0","0.01"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2015-07-10T00:17:31.620+01:00","0.0","0.06"
"Multiple interfaces inheritance test","Podam will create an instance of a POJO but its interface types won't be instantiated","SUCCESS","2015-07-10T00:17:34.693+01:00","0.0","0.08"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2015-07-10T00:17:21.998+01:00","0.0","0.11"
"Class info test","The ClassInfo object created for a class should handle @PodamExcludeAnnotations","SUCCESS","2015-07-10T00:17:26.692+01:00","0.0","0.01"
"Random data provider strategy impl initialisation unit test","The Random Data Provider Strategy should be initialised correctly and allow for changes in the number of collection elements","SUCCESS","2015-07-10T00:17:30.604+01:00","0.0","0.01"
"External factory unit test","The management of external factories should be correct and chaining should work","SUCCESS","2015-07-10T00:17:33.389+01:00","0.0","0.03"
"XML datatype unit test","When given an external factory, Podam should be able to create instances of XMLGregorianCalendar","SUCCESS","2015-07-10T00:17:39.181+01:00","0.0","0.05"
"XML datatype unit test","When given an external factory, Podam should be able to create instances of the Duration class","SUCCESS","2015-07-10T00:17:39.078+01:00","0.0","0.05"
"XML datatype unit test","When given an external factory, Podam should be able to fill POJOs with instance attributes containing XMLGregorianCalendar and Duration","SUCCESS","2015-07-10T00:17:39.132+01:00","0.0","0.05"
"Memoization test","When memoization is set to false Podam should return different instances for different invocations","SUCCESS","2015-07-10T00:17:35.088+01:00","0.0","0.05"
"Memoization test","When memoization is set to true Podam should return the same instance for different invocations","SUCCESS","2015-07-10T00:17:35.143+01:00","0.0","0.05"
"Validated pojo test","When the @Size annotation doesn't have a max length specified, Podam should assign a sensible value","SUCCESS","2015-07-10T00:17:37.816+01:00","0.0","0.16"
